# ----------------------------------------
# All Web Site Data
# Audience Overview
# 20220101-20220531
# ----------------------------------------

Day Index,Page Views
01/01/2022,"50,746"
02/01/2022,"61,341"
03/01/2022,"61,320"
04/01/2022,"61,898"
05/01/2022,"60,213"
06/01/2022,"61,372"
07/01/2022,"67,434"
08/01/2022,"60,869"
09/01/2022,"59,380"
10/01/2022,"60,406"
11/01/2022,"58,607"
12/01/2022,"43,599"
13/01/2022,"48,855"
14/01/2022,"54,371"
15/01/2022,"60,079"
16/01/2022,"59,661"
17/01/2022,"54,725"
18/01/2022,"58,472"
19/01/2022,"61,742"
20/01/2022,"63,197"
21/01/2022,"58,298"
22/01/2022,"62,021"
23/01/2022,"61,492"
24/01/2022,"57,560"
25/01/2022,"57,931"
26/01/2022,"56,144"
27/01/2022,"56,875"
28/01/2022,"54,133"
29/01/2022,"54,315"
30/01/2022,"52,432"
31/01/2022,"58,536"
01/02/2022,"54,745"
02/02/2022,"52,632"
03/02/2022,"53,837"
04/02/2022,"52,822"
05/02/2022,"58,834"
06/02/2022,"59,084"
07/02/2022,"49,546"
08/02/2022,"56,296"
09/02/2022,"55,356"
10/02/2022,"23,397"
11/02/2022,147
12/02/2022,"29,050"
13/02/2022,"59,457"
14/02/2022,"50,991"
15/02/2022,"47,030"
16/02/2022,"50,060"
17/02/2022,"52,560"
18/02/2022,"50,227"
19/02/2022,"50,606"
20/02/2022,"53,241"
21/02/2022,"54,136"
22/02/2022,"56,736"
23/02/2022,"57,215"
24/02/2022,"54,346"
25/02/2022,"55,889"
26/02/2022,"49,526"
27/02/2022,"50,766"
28/02/2022,"51,121"
01/03/2022,"50,372"
02/03/2022,"55,089"
03/03/2022,"54,506"
04/03/2022,"57,458"
05/03/2022,"59,426"
06/03/2022,"56,724"
07/03/2022,"57,805"
08/03/2022,"57,210"
09/03/2022,"57,391"
10/03/2022,"51,476"
11/03/2022,"53,747"
12/03/2022,"53,041"
13/03/2022,"57,907"
14/03/2022,"55,158"
15/03/2022,"49,323"
16/03/2022,"49,138"
17/03/2022,"48,348"
18/03/2022,"50,402"
19/03/2022,"51,169"
20/03/2022,"53,867"
21/03/2022,"53,265"
22/03/2022,"49,323"
23/03/2022,"50,103"
24/03/2022,"51,653"
25/03/2022,"48,052"
26/03/2022,"47,258"
27/03/2022,"52,107"
28/03/2022,"49,509"
29/03/2022,"47,469"
30/03/2022,"54,223"
31/03/2022,"52,950"
01/04/2022,"58,440"
02/04/2022,"54,120"
03/04/2022,"47,708"
04/04/2022,"51,960"
05/04/2022,"48,499"
06/04/2022,"52,100"
07/04/2022,"47,286"
08/04/2022,"44,682"
09/04/2022,"47,148"
10/04/2022,"47,344"
11/04/2022,"46,693"
12/04/2022,"55,745"
13/04/2022,"51,963"
14/04/2022,"49,480"
15/04/2022,"55,082"
16/04/2022,"51,978"
17/04/2022,"54,260"
18/04/2022,"57,510"
19/04/2022,"53,309"
20/04/2022,"49,193"
21/04/2022,"48,612"
22/04/2022,"50,365"
23/04/2022,"50,165"
24/04/2022,"53,614"
25/04/2022,"50,153"
26/04/2022,"51,307"
27/04/2022,"51,882"
28/04/2022,"49,902"
29/04/2022,"51,175"
30/04/2022,"49,482"
01/05/2022,"53,297"
02/05/2022,"61,211"
03/05/2022,"54,750"
04/05/2022,"55,335"
05/05/2022,"46,242"
06/05/2022,"44,716"
07/05/2022,"58,084"
08/05/2022,"54,096"
09/05/2022,"49,226"
10/05/2022,"46,614"
11/05/2022,"51,098"
12/05/2022,"48,774"
13/05/2022,"48,870"
14/05/2022,"50,231"
15/05/2022,"54,034"
16/05/2022,"56,992"
17/05/2022,"52,287"
18/05/2022,"53,784"
19/05/2022,"51,662"
20/05/2022,"56,534"
21/05/2022,"55,703"
22/05/2022,"55,672"
23/05/2022,"63,630"
24/05/2022,"61,465"
25/05/2022,"53,356"
26/05/2022,"54,360"
27/05/2022,"50,311"
28/05/2022,"51,962"
29/05/2022,"54,361"
30/05/2022,"54,924"
31/05/2022,"53,665"
,"8,011,549"
